level,total,full_accuracy,full_mbr,full_error_conditioned_mbr,full_a_mbr,full_out_of_set_rate,full_invalid_rate,crop_accuracy,crop_mbr,crop_error_conditioned_mbr,crop_a_mbr,crop_out_of_set_rate,crop_invalid_rate,context_crop_accuracy,context_crop_mbr,context_crop_error_conditioned_mbr,context_crop_a_mbr,context_crop_out_of_set_rate,context_crop_invalid_rate,crop_binding_gap,context_crop_gap
ALL,4261,0.7146209809903779,0.07157944144567004,0.25082236842105265,0.6918032786885245,0.20769772353907534,0.0,0.7153250410701714,0.0896503168270359,0.314921681780709,0.7774869109947644,0.19502464210279277,0.0,0.7054681999530626,0.09176249706641633,0.3115537848605578,0.7877237851662404,0.20183055620746304,0.0,0.0007040600797935115,-0.009152781037315205
L1,1773,0.7230682459108855,0.07332205301748448,0.26476578411405294,0.7846153846153846,0.19740552735476594,0.0,0.7179921037789058,0.08911449520586577,0.316,0.740506329113924,0.19289340101522842,0.0,0.6948674562887761,0.10039481105470953,0.3290203327171904,0.7696629213483146,0.20304568527918782,0.0,-0.005076142131979711,-0.028200789622109368
L3,2488,0.7086012861736335,0.07033762057877814,0.2413793103448276,0.6228571428571429,0.215032154340836,0.0,0.7134244372990354,0.09003215434083602,0.3141654978962132,0.8035714285714286,0.19654340836012862,0.0,0.7130225080385852,0.08561093247588425,0.29831932773109243,0.8028169014084507,0.20096463022508038,0.0,0.004823151125401881,0.004421221864951752
