model,setting,level,total,accuracy,overall_mbr,error_conditioned_mbr,a_mbr,out_of_set_rate,invalid_rate,wrong
gemini-3.5-flash,full_image,L1,1773,0.7230682459108855,0.07332205301748448,0.26476578411405294,0.7846153846153846,0.19740552735476594,0.006204173716864072,491
gemini-3.5-flash,full_image,L2,1773,0.8950930626057529,0.08009024252679076,0.7634408602150538,0.8169014084507042,0.022560631697687534,0.0022560631697687537,186
gemini-3.5-flash,full_image,L3,2488,0.7086012861736335,0.07033762057877814,0.2413793103448276,0.6228571428571429,0.215032154340836,0.006028938906752411,725
gemini-3.5-flash,full_image,L4,3546,0.8584320360970107,0.030456852791878174,0.2151394422310757,1.0,0.0,0.029892836999435984,502
