level,total,full_accuracy,full_mbr,full_error_conditioned_mbr,full_a_mbr,full_out_of_set_rate,full_invalid_rate,crop_accuracy,crop_mbr,crop_error_conditioned_mbr,crop_a_mbr,crop_out_of_set_rate,crop_invalid_rate,context_crop_accuracy,context_crop_mbr,context_crop_error_conditioned_mbr,context_crop_a_mbr,context_crop_out_of_set_rate,context_crop_invalid_rate,crop_binding_gap,context_crop_gap
ALL,4261,0.7423140107955879,0.08894625674724244,0.3451730418943534,0.7176781002638523,0.16873973245716967,0.0,0.7183759680826097,0.10021121802393804,0.35583333333333333,0.7985948477751756,0.18141281389345223,0.0,0.7263553156536025,0.11241492607369162,0.41080617495711835,0.8225469728601252,0.16122975827270594,0.0,-0.02393804271297817,-0.015958695141985446
L1,1773,0.7552171460800903,0.07896221094190638,0.3225806451612903,0.7642857142857142,0.1658206429780034,0.0,0.7191201353637902,0.09757473209249859,0.3473895582329317,0.7745664739884393,0.18330513254371122,0.0,0.7168640721940215,0.11900733220530176,0.4203187250996016,0.8151658767772512,0.16412859560067683,0.0,-0.036097010716300115,-0.03835307388606879
L3,2488,0.7331189710610932,0.09606109324758842,0.35993975903614456,0.6903765690376569,0.17081993569131831,0.0,0.7178456591639871,0.10209003215434084,0.36182336182336183,0.8149606299212598,0.18006430868167203,0.0,0.7331189710610932,0.10771704180064309,0.4036144578313253,0.8283582089552238,0.15916398713826366,0.0,-0.015273311897106123,0.0
