model,setting,level,total,accuracy,overall_mbr,error_conditioned_mbr,a_mbr,out_of_set_rate,invalid_rate,wrong
minicpm-v-2.6,full_image,L1,1773,0.6762549351381839,0.17258883248730963,0.5331010452961672,0.7941176470588235,0.15115623237450648,0.0,574
minicpm-v-2.6,full_image,L2,1773,0.7992103778905809,0.20078962210941906,1.0,0.8342696629213483,0.0,0.0,356
minicpm-v-2.6,full_image,L3,2488,0.5836012861736335,0.24959807073954984,0.5994208494208494,0.6264090177133655,0.16680064308681672,0.0,1036
minicpm-v-2.6,full_image,L4,3546,0.7758037225042301,0.15031020868584322,0.670440251572327,1.0,0.0,0.0,795
