model,setting,level,total,accuracy,overall_mbr,error_conditioned_mbr,a_mbr,out_of_set_rate,invalid_rate,wrong
minicpm-v-2.6,instance_first,L1,1773,0.6824591088550479,0.13479977439368301,0.42451154529307283,0.8075313807531381,0.18274111675126903,0.0,563
minicpm-v-2.6,instance_first,L2,1773,0.7935702199661591,0.19796954314720813,0.9590163934426229,0.7977207977207977,0.008460236886632826,0.0,366
minicpm-v-2.6,instance_first,L3,2488,0.6189710610932476,0.17966237942122187,0.47151898734177217,0.6263982102908278,0.20136655948553053,0.0,948
minicpm-v-2.6,instance_first,L4,3546,0.8093626621545403,0.1263395375070502,0.6627218934911243,1.0,0.0,0.0008460236886632825,676
