level,total,full_accuracy,full_mbr,full_error_conditioned_mbr,full_a_mbr,full_out_of_set_rate,full_invalid_rate,instance_first_accuracy,instance_first_mbr,instance_first_error_conditioned_mbr,instance_first_a_mbr,instance_first_out_of_set_rate,instance_first_invalid_rate,accuracy_gap,mbr_gap,a_mbr_gap,out_of_set_gap
ALL,9580,0.7117954070981211,0.1895615866388309,0.6577327055414705,0.8050660792951542,0.07129436325678497,0.0,0.7335073068893528,0.15501043841336118,0.581668625146886,0.8087542087542088,0.08768267223382047,0.00031315240083507306,0.02171189979123178,-0.03455114822546973,0.003688129459054612,0.0163883089770355
L1,1773,0.6762549351381839,0.17258883248730963,0.5331010452961672,0.7941176470588235,0.15115623237450648,0.0,0.6824591088550479,0.13479977439368301,0.42451154529307283,0.8075313807531381,0.18274111675126903,0.0,0.006204173716863992,-0.03778905809362662,0.013413733694314645,0.031584884376762545
L2,1773,0.7992103778905809,0.20078962210941906,1.0,0.8342696629213483,0.0,0.0,0.7935702199661591,0.19796954314720813,0.9590163934426229,0.7977207977207977,0.008460236886632826,0.0,-0.005640157924421851,-0.0028200789622109257,-0.03654886520055056,0.008460236886632826
L3,2488,0.5836012861736335,0.24959807073954984,0.5994208494208494,0.6264090177133655,0.16680064308681672,0.0,0.6189710610932476,0.17966237942122187,0.47151898734177217,0.6263982102908278,0.20136655948553053,0.0,0.03536977491961413,-0.06993569131832797,-1.0807422537784106e-05,0.034565916398713814
L4,3546,0.7758037225042301,0.15031020868584322,0.670440251572327,1.0,0.0,0.0,0.8093626621545403,0.1263395375070502,0.6627218934911243,1.0,0.0,0.0008460236886632825,0.033558939650310204,-0.023970671178793007,0.0,0.0
