level,total,full_accuracy,full_mbr,full_error_conditioned_mbr,full_a_mbr,full_out_of_set_rate,full_invalid_rate,box_accuracy,box_mbr,box_error_conditioned_mbr,box_a_mbr,box_out_of_set_rate,box_invalid_rate,crop_accuracy,crop_mbr,crop_error_conditioned_mbr,crop_a_mbr,crop_out_of_set_rate,crop_invalid_rate,context_crop_accuracy,context_crop_mbr,context_crop_error_conditioned_mbr,context_crop_a_mbr,context_crop_out_of_set_rate,context_crop_invalid_rate,dim_non_target_accuracy,dim_non_target_mbr,dim_non_target_error_conditioned_mbr,dim_non_target_a_mbr,dim_non_target_out_of_set_rate,dim_non_target_invalid_rate,box_gap,crop_binding_gap,context_crop_gap,dim_non_target_gap
ALL,4261,0.6221544238441681,0.217554564656184,0.575776397515528,0.6817691477885652,0.16029101149964797,0.0,0.6132363295001173,0.23304388641164045,0.6025485436893204,0.7170191339375629,0.1537197840882422,0.0,0.7143862942971133,0.11194555268716264,0.39194741166803615,0.8259958071278826,0.173668153015724,0.0,0.7279981225064539,0.11922084017836189,0.4383088869715272,0.8267716535433071,0.15278103731518422,0.0,0.5472893686927951,0.28185871861065476,0.6226023846552617,0.6952539550374688,0.17085191269655012,0.0,-0.008918094344050775,0.09223187045294523,0.10584369866228582,-0.07486505515137298
L1,1773,0.6762549351381839,0.17258883248730963,0.5331010452961672,0.7941176470588235,0.15115623237450648,0.0,0.6858432036097011,0.15961646926113932,0.5080789946140036,0.8197879858657244,0.1545403271291596,0.0,0.7151720248166948,0.10941906373378454,0.38415841584158417,0.8092783505154639,0.1754089114495206,0.0,0.7168640721940215,0.12972363226170333,0.4581673306772908,0.8217391304347826,0.15341229554427524,0.0,0.6520022560631697,0.17822899041173154,0.5121555915721232,0.8069620253164557,0.1697687535250987,0.0,0.00958826847151717,0.03891708967851093,0.040609137055837574,-0.02425267907501416
L3,2488,0.5836012861736335,0.24959807073954984,0.5994208494208494,0.6264090177133655,0.16680064308681672,0.0,0.5614951768488746,0.2853697749196141,0.6507791017415215,0.676056338028169,0.15313504823151125,0.0,0.7138263665594855,0.1137459807073955,0.39747191011235955,0.8374558303886925,0.17242765273311897,0.0,0.7359324758842444,0.11173633440514469,0.4231354642313546,0.8309352517985612,0.15233118971061094,0.0,0.47266881028938906,0.3557073954983923,0.6745426829268293,0.655367231638418,0.17162379421221866,0.0,-0.02210610932475887,0.130225080385852,0.15233118971061088,-0.11093247588424443
