level,total,full_accuracy,full_mbr,full_error_conditioned_mbr,full_a_mbr,full_out_of_set_rate,full_invalid_rate,instance_first_accuracy,instance_first_mbr,instance_first_error_conditioned_mbr,instance_first_a_mbr,instance_first_out_of_set_rate,instance_first_invalid_rate,accuracy_gap,mbr_gap,a_mbr_gap,out_of_set_gap
ALL,9580,0.5437369519832985,0.34008350730688935,0.7453671928620453,0.7869858809085328,0.07891440501043841,0.0,0.31795407098121087,0.3515657620041754,0.5154576063666972,0.8081947743467933,0.19634655532359083,0.11962421711899791,-0.22578288100208765,0.011482254697286032,0.02120889343826049,0.11743215031315242
L1,1773,0.5262267343485617,0.3090806542583192,0.6523809523809524,0.781021897810219,0.164692611393119,0.0,0.32318104906937395,0.3558939650310209,0.5258333333333334,0.7448494453248812,0.32092498589960516,0.0,-0.20304568527918776,0.04681331077270168,-0.03617245248533785,0.15623237450648617
L2,1773,0.5673998871968415,0.43260011280315847,1.0,0.6857887874837028,0.0,0.0,0.3496897913141568,0.4952058657642414,0.7614917606244579,0.6662870159453302,0.1551043429216018,0.0,-0.21771009588268475,0.06260575296108295,-0.019501771538372514,0.1551043429216018
L3,2488,0.4457395498392283,0.3677652733118971,0.6635242929659173,0.6360655737704918,0.1864951768488746,0.0,0.23914790996784566,0.3440514469453376,0.45219228737453776,0.7757009345794392,0.41680064308681675,0.0,-0.20659163987138265,-0.0237138263665595,0.13963536080894745,0.23030546623794215
L4,3546,0.6094190637337845,0.2899041173152848,0.7422382671480144,1.0,0.0,0.0,0.3547659334461365,0.2828539199097575,0.4383741258741259,1.0,0.0,0.32318104906937395,-0.254653130287648,-0.007050197405527314,0.0,0.0
