model,setting,level,total,accuracy,overall_mbr,error_conditioned_mbr,a_mbr,out_of_set_rate,invalid_rate,wrong
llava-1.5-7b,instance_first,L1,1773,0.32318104906937395,0.3558939650310209,0.5258333333333334,0.7448494453248812,0.32092498589960516,0.0,1200
llava-1.5-7b,instance_first,L2,1773,0.3496897913141568,0.4952058657642414,0.7614917606244579,0.6662870159453302,0.1551043429216018,0.0,1153
llava-1.5-7b,instance_first,L3,2488,0.23914790996784566,0.3440514469453376,0.45219228737453776,0.7757009345794392,0.41680064308681675,0.0,1893
llava-1.5-7b,instance_first,L4,3546,0.3547659334461365,0.2828539199097575,0.4383741258741259,1.0,0.0,0.32318104906937395,2288
