level,total,full_accuracy,full_mbr,full_error_conditioned_mbr,full_a_mbr,full_out_of_set_rate,full_invalid_rate,box_accuracy,box_mbr,box_error_conditioned_mbr,box_a_mbr,box_out_of_set_rate,box_invalid_rate,crop_accuracy,crop_mbr,crop_error_conditioned_mbr,crop_a_mbr,crop_out_of_set_rate,crop_invalid_rate,context_crop_accuracy,context_crop_mbr,context_crop_error_conditioned_mbr,context_crop_a_mbr,context_crop_out_of_set_rate,context_crop_invalid_rate,dim_non_target_accuracy,dim_non_target_mbr,dim_non_target_error_conditioned_mbr,dim_non_target_a_mbr,dim_non_target_out_of_set_rate,dim_non_target_invalid_rate,box_gap,crop_binding_gap,context_crop_gap,dim_non_target_gap
ALL,4261,0.47923022764609247,0.34334663224595163,0.6593059936908517,0.6903622693096377,0.17742314010795587,0.0,0.4813424078854729,0.3527340999765313,0.6800904977375566,0.7045908183632734,0.1659234921379958,0.0,0.6805914104670265,0.15207697723539076,0.4761204996326231,0.8240740740740741,0.16733161229758273,0.0,0.6686223891105374,0.18211687397324572,0.5495750708215298,0.8801546391752577,0.14926073691621686,0.0,0.4754752405538606,0.35508096690917623,0.6769574944071588,0.7111698612029081,0.16944379253696315,0.0,0.0021121802393804234,0.20136118282093407,0.18939216146444493,-0.003754987092231876
L1,1773,0.5262267343485617,0.3090806542583192,0.6523809523809524,0.781021897810219,0.164692611393119,0.0,0.5053581500282008,0.3305132543711224,0.6681870011402509,0.7150170648464164,0.16412859560067683,0.0,0.6773829667230682,0.1505922165820643,0.46678321678321677,0.8052434456928839,0.17202481669486747,0.0,0.6598984771573604,0.18612521150592218,0.5472636815920398,0.8696969696969697,0.15397631133671744,0.0,0.5002820078962211,0.3344613649182177,0.6693002257336343,0.7065767284991569,0.1652566271855612,0.0,-0.020868584320360872,0.15115623237450648,0.13367174280879868,-0.025944726452340583
L3,2488,0.4457395498392283,0.3677652733118971,0.6635242929659173,0.6360655737704918,0.1864951768488746,0.0,0.4642282958199357,0.36856913183279744,0.6879219804951238,0.697928026172301,0.16720257234726688,0.0,0.6828778135048231,0.15313504823151125,0.4828897338403042,0.8372703412073491,0.1639871382636656,0.0,0.6748392282958199,0.17926045016077172,0.5512978986402967,0.8878923766816144,0.14590032154340837,0.0,0.4577974276527331,0.36977491961414793,0.6819866567828021,0.7141304347826087,0.17242765273311897,0.0,0.018488745980707377,0.23713826366559482,0.22909967845659157,0.012057877813504814
