model,setting,level,total,accuracy,overall_mbr,error_conditioned_mbr,a_mbr,out_of_set_rate,invalid_rate,wrong
qwen2.5-vl-7b-instruct,instance_first,L1,1773,0.6802030456852792,0.14664410603496897,0.4585537918871252,0.8153846153846154,0.17315284827975183,0.0,567
qwen2.5-vl-7b-instruct,instance_first,L2,1773,0.8020304568527918,0.13423575860124085,0.6780626780626781,0.865546218487395,0.06373378454596729,0.0,351
qwen2.5-vl-7b-instruct,instance_first,L3,2488,0.6555466237942122,0.15313504823151125,0.44457409568261375,0.7506561679790026,0.19131832797427653,0.0,857
qwen2.5-vl-7b-instruct,instance_first,L4,3546,0.7763677382966723,0.09672870840383531,0.43253467843631777,1.0,0.0,0.0005640157924421884,793
