level,total,full_accuracy,full_mbr,full_error_conditioned_mbr,full_a_mbr,full_out_of_set_rate,full_invalid_rate,box_accuracy,box_mbr,box_error_conditioned_mbr,box_a_mbr,box_out_of_set_rate,box_invalid_rate,crop_accuracy,crop_mbr,crop_error_conditioned_mbr,crop_a_mbr,crop_out_of_set_rate,crop_invalid_rate,context_crop_accuracy,context_crop_mbr,context_crop_error_conditioned_mbr,context_crop_a_mbr,context_crop_out_of_set_rate,context_crop_invalid_rate,dim_non_target_accuracy,dim_non_target_mbr,dim_non_target_error_conditioned_mbr,dim_non_target_a_mbr,dim_non_target_out_of_set_rate,dim_non_target_invalid_rate,box_gap,crop_binding_gap,context_crop_gap,dim_non_target_gap
ALL,4261,0.695611358835954,0.14574043651724947,0.47879722436391675,0.7085346215780999,0.15864820464679652,0.0,0.7129781741375264,0.12954705468199953,0.4513491414554375,0.7445652173913043,0.15747477118047407,0.0,0.6944379253696316,0.1272001877493546,0.4162826420890937,0.8007380073800738,0.17836188688101384,0.0,0.7336306031448017,0.11241492607369162,0.4220264317180617,0.7933194154488518,0.15395447078150667,0.0,0.6641633419385121,0.16451537197840882,0.48986722571628233,0.7203994293865906,0.1713212860830791,0.0,0.017366815301572358,-0.0011734334663224821,0.03801924430884762,-0.03144801689744192
L1,1773,0.6909193457416808,0.1545403271291596,0.5,0.8211678832116789,0.1545403271291596,0.0,0.7033276931754089,0.13987591652566272,0.4714828897338403,0.8306451612903226,0.15679639029892836,0.0,0.6926113931190073,0.125775521714608,0.4091743119266055,0.7802690582959642,0.18161308516638466,0.0,0.7230682459108855,0.12069937958262832,0.43584521384928715,0.7850467289719626,0.1562323745064862,0.0,0.6536943034404963,0.17315284827975183,0.5,0.8110749185667753,0.17315284827975183,0.0,0.012408347433728095,0.0016920473773265332,0.032148900169204686,-0.03722504230118451
L3,2488,0.6989549839228296,0.13946945337620578,0.46328437917222964,0.6195965417867435,0.16157556270096463,0.0,0.719855305466238,0.12218649517684887,0.43615494978479197,0.6743421052631579,0.1579581993569132,0.0,0.6957395498392283,0.12821543408360128,0.42140026420079263,0.8150470219435737,0.1760450160771704,0.0,0.7411575562700965,0.10651125401929261,0.4114906832298137,0.8,0.15233118971061094,0.0,0.6716237942122186,0.15836012861736334,0.48225214198286415,0.649746192893401,0.170016077170418,0.0,0.020900321543408373,-0.003215434083601365,0.042202572347266876,-0.027331189710610992
