level,total,full_accuracy,full_mbr,full_error_conditioned_mbr,full_a_mbr,full_out_of_set_rate,full_invalid_rate,instance_first_accuracy,instance_first_mbr,instance_first_error_conditioned_mbr,instance_first_a_mbr,instance_first_out_of_set_rate,instance_first_invalid_rate,accuracy_gap,mbr_gap,a_mbr_gap,out_of_set_gap
ALL,9580,0.7588726513569938,0.13653444676409185,0.5662337662337662,0.8264525993883792,0.07066805845511483,0.0,0.7319415448851775,0.12755741127348644,0.47585669781931467,0.8567921440261865,0.09352818371607516,0.00020876826722338206,-0.02693110647181629,-0.008977035490605412,0.030339544637807303,0.02286012526096033
L1,1773,0.6909193457416808,0.1545403271291596,0.5,0.8211678832116789,0.1545403271291596,0.0,0.6802030456852792,0.14664410603496897,0.4585537918871252,0.8153846153846154,0.17315284827975183,0.0,-0.010716300056401562,-0.007896221094190636,-0.00578326782706351,0.018612521150592226
L2,1773,0.8347433728144388,0.164692611393119,0.9965870307167235,0.8424657534246576,0.0005640157924421884,0.0,0.8020304568527918,0.13423575860124085,0.6780626780626781,0.865546218487395,0.06373378454596729,0.0,-0.03271291596164694,-0.030456852791878153,0.02308046506273742,0.0631697687535251
L3,2488,0.6989549839228296,0.13946945337620578,0.46328437917222964,0.6195965417867435,0.16157556270096463,0.0,0.6555466237942122,0.15313504823151125,0.44457409568261375,0.7506561679790026,0.19131832797427653,0.0,-0.043408360128617374,0.013665594855305468,0.13105962619225908,0.029742765273311905
L4,3546,0.7969543147208121,0.1113931190073322,0.5486111111111112,1.0,0.0,0.0,0.7763677382966723,0.09672870840383531,0.43253467843631777,1.0,0.0,0.0005640157924421884,-0.020586576424139857,-0.014664410603496894,0.0,0.0
