model,setting,level,total,accuracy,overall_mbr,error_conditioned_mbr,a_mbr,out_of_set_rate,invalid_rate,wrong
qwen2.5-vl-7b-instruct,full_image,L1,1773,0.6909193457416808,0.1545403271291596,0.5,0.8211678832116789,0.1545403271291596,0.0,548
qwen2.5-vl-7b-instruct,full_image,L2,1773,0.8347433728144388,0.164692611393119,0.9965870307167235,0.8424657534246576,0.0005640157924421884,0.0,293
qwen2.5-vl-7b-instruct,full_image,L3,2488,0.6989549839228296,0.13946945337620578,0.46328437917222964,0.6195965417867435,0.16157556270096463,0.0,749
qwen2.5-vl-7b-instruct,full_image,L4,3546,0.7969543147208121,0.1113931190073322,0.5486111111111112,1.0,0.0,0.0,720
