level,total,full_accuracy,full_mbr,full_error_conditioned_mbr,full_a_mbr,full_out_of_set_rate,full_invalid_rate,box_accuracy,box_mbr,box_error_conditioned_mbr,box_a_mbr,box_out_of_set_rate,box_invalid_rate,crop_accuracy,crop_mbr,crop_error_conditioned_mbr,crop_a_mbr,crop_out_of_set_rate,crop_invalid_rate,context_crop_accuracy,context_crop_mbr,context_crop_error_conditioned_mbr,context_crop_a_mbr,context_crop_out_of_set_rate,context_crop_invalid_rate,dim_non_target_accuracy,dim_non_target_mbr,dim_non_target_error_conditioned_mbr,dim_non_target_a_mbr,dim_non_target_out_of_set_rate,dim_non_target_invalid_rate,box_gap,crop_binding_gap,context_crop_gap,dim_non_target_gap
ALL,4261,0.639755925839005,0.20558554329969492,0.5706840390879478,0.6095890410958904,0.15465853086130016,0.0,0.6484393334897911,0.2006571227411406,0.5707610146862483,0.6900584795321637,0.15090354376906828,0.0,0.695611358835954,0.15606665102088713,0.51272166538165,0.8451127819548873,0.1483219901431589,0.0,0.6953766721426895,0.15841351795353203,0.5200308166409862,0.8562962962962963,0.14620980990377846,0.0,0.5583196432762262,0.28209340530391924,0.638682252922423,0.6896838602329451,0.1595869514198545,0.0,0.008683407650786124,0.05585543299694906,0.05562074630368452,-0.0814362825627788
L1,1773,0.6728708403835307,0.18048505358150027,0.5517241379310345,0.784375,0.14664410603496897,0.0,0.6779469825155104,0.17710095882684715,0.5499124343257443,0.8280254777070064,0.1449520586576424,0.0,0.6965595036661026,0.15172024816694868,0.5,0.828996282527881,0.15172024816694868,0.0,0.6835871404399323,0.16751269035532995,0.5294117647058824,0.8552188552188552,0.14890016920473773,0.0,0.6091370558375635,0.23519458544839256,0.6017316017316018,0.8537170263788969,0.155668358714044,0.0,0.005076142131979711,0.02368866328257191,0.010716300056401562,-0.06373378454596723
L3,2488,0.6161575562700965,0.22347266881028938,0.5821989528795811,0.5089928057553957,0.16036977491961416,0.0,0.627411575562701,0.21744372990353697,0.5836030204962244,0.609981515711645,0.15514469453376206,0.0,0.694935691318328,0.15916398713826366,0.5217391304347826,0.8560606060606061,0.14590032154340837,0.0,0.7037781350482315,0.15192926045016078,0.5128900949796472,0.8571428571428571,0.14429260450160772,0.0,0.5221061093247589,0.3155144694533762,0.6602186711522288,0.6025477707006369,0.16237942122186494,0.0,0.0112540192926045,0.0787781350482315,0.087620578778135,-0.09405144694533762
