level,total,full_accuracy,full_mbr,full_error_conditioned_mbr,full_a_mbr,full_out_of_set_rate,full_invalid_rate,instance_first_accuracy,instance_first_mbr,instance_first_error_conditioned_mbr,instance_first_a_mbr,instance_first_out_of_set_rate,instance_first_invalid_rate,accuracy_gap,mbr_gap,a_mbr_gap,out_of_set_gap
ALL,9580,0.722964509394572,0.18580375782881003,0.6706857573474001,0.7696629213483146,0.06878914405010439,0.0,0.7065762004175365,0.19832985386221294,0.6759160441124155,0.8057894736842105,0.06711899791231733,0.003966597077244259,-0.01638830897703547,0.012526096033402906,0.0361265523358959,-0.001670146137787057
L1,1773,0.6728708403835307,0.18048505358150027,0.5517241379310345,0.784375,0.14664410603496897,0.0,0.6880992667794699,0.1562323745064862,0.5009041591320073,0.7545126353790613,0.155668358714044,0.0,0.015228426395939132,-0.024252679075014077,-0.02986236462093872,0.009024252679075029
L2,1773,0.805414551607445,0.19458544839255498,1.0,0.8028985507246377,0.0,0.0,0.7163000564015792,0.2825719120135364,0.9960238568588469,0.8063872255489022,0.0011280315848843769,0.0,-0.08911449520586578,0.08798646362098139,0.003488674824264515,0.0011280315848843769
L3,2488,0.6161575562700965,0.22347266881028938,0.5821989528795811,0.5089928057553957,0.16036977491961416,0.0,0.6241961414790996,0.22909967845659163,0.6096256684491979,0.6421052631578947,0.1467041800643087,0.0,0.008038585209003135,0.00562700964630225,0.133112457402499,-0.013665594855305468
L4,3546,0.7817258883248731,0.15764241398759166,0.7222222222222222,1.0,0.0,0.0,0.7687535250987028,0.155668358714044,0.6731707317073171,1.0,0.0,0.01071630005640158,-0.012972363226170347,-0.001974055273547659,0.0,0.0
