model,setting,level,total,accuracy,overall_mbr,error_conditioned_mbr,a_mbr,out_of_set_rate,invalid_rate,wrong
llava-onevision-qwen2-7b,instance_first,L1,1773,0.6880992667794699,0.1562323745064862,0.5009041591320073,0.7545126353790613,0.155668358714044,0.0,553
llava-onevision-qwen2-7b,instance_first,L2,1773,0.7163000564015792,0.2825719120135364,0.9960238568588469,0.8063872255489022,0.0011280315848843769,0.0,503
llava-onevision-qwen2-7b,instance_first,L3,2488,0.6241961414790996,0.22909967845659163,0.6096256684491979,0.6421052631578947,0.1467041800643087,0.0,935
llava-onevision-qwen2-7b,instance_first,L4,3546,0.7687535250987028,0.155668358714044,0.6731707317073171,1.0,0.0,0.01071630005640158,820
