model,setting,level,total,accuracy,overall_mbr,error_conditioned_mbr,a_mbr,out_of_set_rate,invalid_rate,wrong
internvl3-8b,instance_first,L1,1773,0.7112239142695995,0.1111111111111111,0.384765625,0.8071065989847716,0.17766497461928935,0.0,512
internvl3-8b,instance_first,L2,1773,0.8336153412295544,0.1359278059785674,0.8169491525423729,0.8713692946058091,0.030456852791878174,0.0,295
internvl3-8b,instance_first,L3,2488,0.697347266881029,0.11696141479099678,0.38645418326693226,0.7147766323024055,0.18569131832797428,0.0,753
internvl3-8b,instance_first,L4,3546,0.8519458544839256,0.05499153976311337,0.37142857142857144,1.0,0.0,0.0002820078962210942,525
