level,total,full_accuracy,full_mbr,full_error_conditioned_mbr,full_a_mbr,full_out_of_set_rate,full_invalid_rate,box_accuracy,box_mbr,box_error_conditioned_mbr,box_a_mbr,box_out_of_set_rate,box_invalid_rate,crop_accuracy,crop_mbr,crop_error_conditioned_mbr,crop_a_mbr,crop_out_of_set_rate,crop_invalid_rate,context_crop_accuracy,context_crop_mbr,context_crop_error_conditioned_mbr,context_crop_a_mbr,context_crop_out_of_set_rate,context_crop_invalid_rate,dim_non_target_accuracy,dim_non_target_mbr,dim_non_target_error_conditioned_mbr,dim_non_target_a_mbr,dim_non_target_out_of_set_rate,dim_non_target_invalid_rate,box_gap,crop_binding_gap,context_crop_gap,dim_non_target_gap
ALL,4261,0.6986622858483924,0.1358835954001408,0.45093457943925236,0.7202072538860104,0.1654541187514668,0.0,0.7460689978878198,0.09809903778455761,0.38632162661737524,0.7368421052631579,0.1558319643276226,0.0,0.6669795822576859,0.13424078854728938,0.40310077519379844,0.8566433566433567,0.19877962919502465,0.0,0.7052335132597982,0.12274114057732927,0.4164012738853503,0.8374760994263862,0.17202534616287257,0.0,0.7064069467261206,0.13095517484158647,0.4460431654676259,0.7311827956989247,0.16263787843229288,0.0,0.04740671203942737,-0.03168270359070646,0.006571227411405811,0.007744660877728182
L1,1773,0.6892272983643543,0.14720812182741116,0.47368421052631576,0.789272030651341,0.16356457980823463,0.0,0.7518330513254371,0.10039481105470953,0.40454545454545454,0.7696629213483146,0.14777213761985336,0.0,0.6672306824591089,0.1319796954314721,0.39661016949152544,0.8376068376068376,0.20078962210941906,0.0,0.6920473773265652,0.13479977439368301,0.43772893772893773,0.8368200836820083,0.17315284827975183,0.0,0.7089678510998308,0.12803158488437677,0.43992248062015504,0.7533039647577092,0.16300056401579244,0.0,0.06260575296108284,-0.021996615905245376,0.0028200789622109257,0.01974055273547659
L3,2488,0.7053858520900321,0.12781350482315113,0.43383356070941337,0.6635220125786163,0.16680064308681672,0.0,0.7419614147909968,0.09646302250803858,0.37383177570093457,0.7125,0.16157556270096463,0.0,0.6668006430868167,0.13585209003215434,0.4077201447527141,0.8698224852071006,0.19734726688102894,0.0,0.7146302250803859,0.11414790996784566,0.4,0.8380281690140845,0.1712218649517685,0.0,0.7045819935691319,0.13303858520900322,0.45034013605442175,0.716012084592145,0.16237942122186494,0.0,0.036575562700964626,-0.03858520900321538,0.009244372990353744,-0.000803858520900258
