model,setting,level,total,accuracy,overall_mbr,error_conditioned_mbr,a_mbr,out_of_set_rate,invalid_rate,wrong
internvl3-8b,full_image,L1,1773,0.6892272983643543,0.14720812182741116,0.47368421052631576,0.789272030651341,0.16356457980823463,0.0,551
internvl3-8b,full_image,L2,1773,0.8206429780033841,0.1793570219966159,1.0,0.8616352201257862,0.0,0.0,318
internvl3-8b,full_image,L3,2488,0.7053858520900321,0.12781350482315113,0.43383356070941337,0.6635220125786163,0.16680064308681672,0.0,733
internvl3-8b,full_image,L4,3546,0.8220530174844896,0.12549351381838691,0.705229793977813,1.0,0.0,0.0,631
