level,total,full_accuracy,full_mbr,full_error_conditioned_mbr,full_a_mbr,full_out_of_set_rate,full_invalid_rate,instance_first_accuracy,instance_first_mbr,instance_first_error_conditioned_mbr,instance_first_a_mbr,instance_first_out_of_set_rate,instance_first_invalid_rate,accuracy_gap,mbr_gap,a_mbr_gap,out_of_set_gap
ALL,9580,0.7669102296450939,0.14008350730688934,0.6009852216748769,0.8464977645305514,0.07359081419624217,0.0,0.7823590814196242,0.09645093945720251,0.44316546762589926,0.8354978354978355,0.08674321503131524,0.00010438413361169103,0.015448851774530259,-0.04363256784968683,-0.01099992903271585,0.013152400835073075
L1,1773,0.6892272983643543,0.14720812182741116,0.47368421052631576,0.789272030651341,0.16356457980823463,0.0,0.7112239142695995,0.1111111111111111,0.384765625,0.8071065989847716,0.17766497461928935,0.0,0.021996615905245265,-0.03609701071630006,0.017834568333430556,0.014100394811054712
L2,1773,0.8206429780033841,0.1793570219966159,1.0,0.8616352201257862,0.0,0.0,0.8336153412295544,0.1359278059785674,0.8169491525423729,0.8713692946058091,0.030456852791878174,0.0,0.012972363226170236,-0.0434292160180485,0.009734074480022947,0.030456852791878174
L3,2488,0.7053858520900321,0.12781350482315113,0.43383356070941337,0.6635220125786163,0.16680064308681672,0.0,0.697347266881029,0.11696141479099678,0.38645418326693226,0.7147766323024055,0.18569131832797428,0.0,-0.008038585209003135,-0.010852090032154343,0.051254619723789197,0.018890675241157562
L4,3546,0.8220530174844896,0.12549351381838691,0.705229793977813,1.0,0.0,0.0,0.8519458544839256,0.05499153976311337,0.37142857142857144,1.0,0.0,0.0002820078962210942,0.029892836999436012,-0.07050197405527354,0.0,0.0
